Image,Title,Author,Rating,Description,Genres
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1681110874i/123452630.jpg,Move to Millions: The Proven Framework to Become a Million Dollar CEO with Grace & Ease Instead of Hustle & Grind,Darnyelle Jervey Harmon,4.29,"Ready to break through the six-figure plateau? Discover an actionable strategy to cross over the million-dollar milestone with grace and ease. Honorary PhD and award-winning Inc. 5000 CEO Dr. Darnyelle Jervey Harmon has used her seven-figure coaching enterprise to help hundreds of her clients leverage the Move to Millions® Method and move closer to and beyond the million-dollar mark.  In Move to Millions , she shares her paradigm-shifting truths to give business owners the confidence and step-by-step techniques to advance beyond the messy middle and defy the statistics plaguing most small businesses. Part memoir and part methodology, Move to Millions helps entrepreneurs simplify their processes to multiply profits, by breaking down complex topics and illustrating their worth through raw personal anecdotes.  Dr. Harmon puts in the work so business owners can be empowered, entertained, and equipped to leave the headaches behind and enjoy everything that truly matters, without compromising on their values in the process.",['Business']
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1630483761i/16071764.jpg,"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,3.95,"Sheryl Sandberg’s Lean In is a massive cultural phenomenon and its title has become an instant catchphrase for empowering women. The book soared to the top of bestseller lists internationally, igniting global conversations about women and ambition. Sandberg packed theatres, dominated opinion pages, appeared on every major television show and on the cover of Time magazine, and sparked ferocious debate about women and leadership. Ask most women whether they have the right to equality at work and the answer will be a resounding yes, but ask the same women whether they'd feel confident asking for a raise, a promotion, or equal pay, and some reticence creeps in. The statistics, although an improvement on previous decades, are certainly not in women's favour – of 197 heads of state, only twenty-two are women. Women hold just 20 percent of seats in parliaments globally, and in the world of big business, a meagre eighteen of the Fortune 500 CEOs are women. In Lean In, Sheryl Sandberg – Facebook COO and one of Fortune magazine's Most Powerful Women in Business – draws on her own experience of working in some of the world's most successful businesses and looks at what women can do to help themselves, and make the small changes in their life that can effect change on a more universal scale.","['Nonfiction', 'Business', 'Feminism', 'Self Help', 'Leadership', 'Audiobook', 'Womens']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1435691724i/25066556.jpg,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,3.9,"MORE THAN HALF A MILLION COPIES  Learn the simple techniques you'll need to approach your biggest challenges with confidence.  Have you ever left a nerve-racking challenge and immediately wished for a do over? Maybe after a job interview, a performance, or a difficult conversation? The very moments that require us to be genuine and commanding can instead cause us to feel phony and powerless. Too often we approach our lives' biggest hurdles with dread, execute them with anxiety, and leave them with regret.By accessing our personal power, we can achieve ""presence,"" the state in which we stop worrying about the impression we're making on others and instead adjust the impression we've been making on ourselves. As Harvard professor Amy Cuddy's revolutionary book reveals, we don't need to embark on a grand spiritual quest or complete an inner transformation to harness the power of presence. Instead, we need to nudge ourselves, moment by moment, by tweaking our body language, behavior, and mind-set in our day-to-day lives.Amy Cuddy has galvanized tens of millions of viewers around the world with her TED talk about ""power poses."" Now she presents the enthralling science underlying these and many other fascinating body-mind effects, and teaches us how to use simple techniques to liberate ourselves from fear in high-pressure moments, perform at our best, and connect with and empower others to do the same.Brilliantly researched, impassioned, and accessible, Presence is filled with stories of individuals who learned how to flourish during the stressful moments that once terrified them. Every reader will learn how to approach their biggest challenges with confidence instead of dread, and to leave them with satisfaction instead of regret."" Presence feels at once concrete and inspiring, simple but ambitious — above all, truly powerful."" — New York Times Book Review","['Nonfiction', 'Psychology', 'Self Help', 'Business', 'Personal Development', 'Leadership', 'Audiobook']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1400886566i/18052969.jpg,The Confidence Code: The Science and Art of Self-Assurance – What Women Should Know,Katty Kay,3.71,"Following the success of Lean In and Why Women Should Rule the World, the authors of the bestselling Womenomics provide an informative and practical guide to understanding the importance of confidence—and learning how to achieve it—for women of all ages and at all stages of their career.Working women today are better educated and more well qualified than ever before. Yet men still predominate in the corporate world. In The Confidence Code, Claire Shipman and Katty Kay argue that the key reason is confidence.Combining cutting-edge research in genetics, gender, behavior, and cognition—with examples from their own lives and those of other successful women in politics, media, and business—Kay and Shipman go beyond admonishing women to ""lean in.""Instead, they offer the inspiration and practical advice women need to close the gap and achieve the careers they want and deserve.","['Nonfiction', 'Self Help', 'Business', 'Psychology', 'Personal Development', 'Feminism', 'Leadership']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1608508430i/54626274.jpg,"We Should All Be Millionaires: A Woman’s Guide to Earning More, Building Wealth, and Gaining Economic Power",Rachel Rodgers,4.21,"Are you ready to fill your life with more peace, power, and joy?We Should All Be Millionaires details a realistic, achievable, step-by-step path to creating the support, confidence, and plan you need to own your success and become the millionaire the world needs you to be.Only 10 percent of the world’s millionaires are women, making it difficult for women to wield the economic power that will create lasting equality. Whatever is stopping you from having seven figures in the bank—whether it’s shaky confidence, knowledge gaps when it comes to wealth building tactics, imposter syndrome, a janky mindset about money (it’s okay, we’ve all been there!), or simply not knowing where to begin—this book shows you how to clear every obstacle in your way, show up, and glow up.We Should All Be Millionaires will forever change the way you think about money and your ability to earn it.In this book, Rachel Rodgers— a Black woman, mother of four, attorney, business owner, and self-made millionaire— shares the lessons she’s learned both in her own journey to wealth and in coaching hundreds of women through their own journeys to seven figures.Inside, you’ll learn:Why earning more money is not “selfish” or “greedy” but in fact, a revolutionary act that brings the economy into balance and creates a better world for all.Why most of the financial advice you’ve heard in the past (like “skip your daily latte to save money”) is absolute, patriarchal nonsense.An eye-opening history lesson on how women and people of color have been shut out of the ability to build wealth for centuries—and how we can fix this.How to stop making broke-ass decisions that leave you feeling emotionally and financially depleted and start making million-dollar decisions instead.Why aiming to earn $100K per year is not enough, and why you need to be setting your goals much higher.Strategies to bring more money in the door and fatten your bank account immediately. (Including Rodgers’$10K in 10 Days Challenge which hundreds of women have completed—with incredible results.)It’s time to construct an entirely new attitude about money, claim your power, and build the financial security that you need and deserve — so you can stop just surviving, and start thriving. Let’s begin.","['Nonfiction', 'Business', 'Finance', 'Self Help', 'Audiobook', 'Money', 'Personal Development']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1588263118i/53297993.jpg,New Startup Mindset: Ten Mindset Shifts to Build the Company of Your Dreams,Sandra Shpilberg,4.16,"Sandra Shpilberg will show you a new way to succeed as an entrepreneur! This provocative startup tale of success exposes Silicon Valley’s startup myths and sets forth a new approach for aspiring and current founders to build companies that make an impact.In New Startup Mindset, Sandra Shpilberg, founder and CEO of Seeker Health, introduces a new mindset for starting and building a successful company. Shpilberg shows that Silicon Valley’s startup formula—a few young male cofounders attempting to build a unicorn funded by venture capital—is a broken system that puts excessive emphasis on hype and improbable outsized outcomes, disregards real results such as revenue and profit, and promotes limiting beliefs for the next generation of entrepreneurs.In 2015, Shpilberg founded Seeker Health, a digital patient-finding platform. The company grew rapidly to serve over sixty biotechnology companies, connect millions of patients with serious diseases to clinical trials, and achieve great financial success. From the start, Shpilberg did almost everything differently than the blazed path: she chose to be a solo founder, didn’t pursue an incubator, didn’t accept outside funding, led development of software despite not being a programmer, and charged customers from month one. Instead of creating hype about fundraising based on fictitious valuations, Shpilberg focused on customer needs, yielding a startup with revenue, profit, and impact; and in September 2018, a large life science services company acquired her startup while she was still the sole owner.In New Startup Mindset, Shpilberg shares her success story of starting, building, and exiting her startup and provides readers with sage insights and practical tools to follow this approach. This book is simultaneously a needed dose of reality for Silicon Valley and a large serving of inspiration for those who want to create something from nothing. It is a must-read for aspiring startup founders and current entrepreneurs, especially those who may think they don’t fit the mold of a Silicon Valley founder and are open to a new way of making a definitive and profound impact with the companies they create.","['Business', 'Entrepreneurship', 'Buisness', 'Nonfiction']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1509743383i/36204301.jpg,"How Women Rise: Break the 12 Habits Holding You Back from Your Next Raise, Promotion, or Job",Sally Helgesen,4.12,"Since the publication of his international bestseller What Got You Here Won’t Get You There, business guru Marshall Goldsmith has spoken to hundreds of thousands of people around the world, sharing the ideas he put forth in that groundbreaking book. But a few years ago, he realized that while some of the habits he outlined in What Got You Here apply to both men and women, women face specific, and different, challenges as they seek to advance in their careers.So he partnered with his longtime colleague, women’s leadership expert Sally Helgesen, to create this invaluable handbook for women trying to take the next step in their careers. They realized that for women in particular, the very skills and habits that made them successful early in their careers could actually be holding them back as they advance to the next stage of their working lives. Women in particular struggle with habits like:1. Reluctance to Claim Your Achievements2. Expecting Others to Spontaneously Notice and Reward Your Hard Work3. Overvaluing Expertise4. Building Rather than Leveraging Relationships5. Failing to Enlist Allies from Day One6. Putting Your Job Before Your Career7. The Disease to Please8. The Perfection Trap9. Minimizing10. Too Much11. Ruminating12. Letting Your Radar Distract YouLike the original What Got You Here, this new book will help women identify specific behaviors that keep them from realizing their full potential, no matter what stage they are in their career. It will also help them identify why what worked for them in the past will not necessarily get them where they want to go in the future–and how to finally shed those behaviors so they can advance to the next level, whatever that may be.","['Nonfiction', 'Business', 'Self Help', 'Leadership', 'Feminism', 'Personal Development', 'Womens']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327912768i/97641.jpg,Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,Lois P. Frankel,3.68,"If you work nonstop without a break...worry about offending others and back down too easily...explain too much when asked for information....or ""poll"" your friends and colleagues before making a decision, chances are you have been bypassed for promotions and ignored when you expressed your ideas. Although you may not be aware of it, girlish behaviors such as these are sabotaging your career!Dr. Lois Frankel reveals why some women roar ahead in their careers while others stagnate. She's spotted a unique set of behaviors--101 in all--that women learn in girlhood that sabotage them as adults. Now, in this groudbreaking guide, she helps you eliminate these unconscious mistakes that could be holding you back--and offers invaluable coaching tips you can easily incorporate into your social and business skills. If you recognize and change the behaviors that say ""girl"" not ""woman"", the results will pay off in carrer opportunites you never thought possible--and in an image that identifies you as someone with the power and know-how to occupy the corner office.","['Nonfiction', 'Business', 'Self Help', 'Feminism', 'Leadership', 'Personal Development', 'Womens']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1670258364i/60746476.jpg,Financial Feminist: Overcome the Patriarchy's Bullsh*t to Master Your Money and Build a Life You Love,Tori Dunlap,4.12,"From the globally-recognized personal finance educator and social media star behind Her First $100K, an inclusive guide to all things money--from managing debt to investing and voting with your dollarsTori Dunlap was always good with money. As a kid, she watched her prudent parents balance their checkbook every month and learned to save for musical tickets by gathering pennies in an Altoids tin. But she quickly discovered that her experience with money was pretty unusual, especially among her female friends.It wasn't our fault. Investigating this financial literacy and wealth gap, Tori found that girls are significantly less likely to receive a holistic financial education; we're taught to restrain our spending, while boys are taught about investing and rewarded for pursuing wealth. In adulthood, women are hounded by the unfounded stereotype of the frivolous spenders whose lattes are to blame for the wealth gap. And when something like, say, a global pandemic happens, we're the first to have jobs cut and the last to re-enter the workforce. It's no wonder money is a source of anxiety and a barrier to equality for so many of us.But what if money didn't mean restriction, and instead, choice? The ability to luxuriously travel, quit toxic jobs, donate to important organizations, retire early? The freedom to live the life you want, and change the world while you do it?Tori founded Her First $100K to teach women to overcome the unique obstacles standing in the way of their financial freedom. In Financial Feminist, she distills the principles of her shame- and judgment-free approach to paying off debt, figuring out your value categories to spend mindfully, saving money without monk-like deprivation, and investing in order to spend your retirement tanning in Tulum.Featuring journaling prompts, deep-dives into the invisible aspects of the financial landscape, and interviews with experts on everything money--from predatory credit card companies to the racial wealth gap and voting with your dollars--Financial Feminist is the ultimate guide to making your money work harder for you (rather than the other way around.)","['Nonfiction', 'Finance', 'Self Help', 'Feminism', 'Money', 'Personal Finance', 'Audiobook']"
https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1570442042i/44285784.jpg,Divergent Mind: Thriving in a World That Wasn't Designed for You,Jenara Nerenberg,3.85,"A paradigm-shifting study of neurodivergent women—those with ADHD, autism, synesthesia, high sensitivity, and sensory processing disorder—exploring why these traits are overlooked in women and how society benefits from allowing their unique strengths to flourish.As a successful Harvard and Berkeley-educated writer, entrepreneur, and devoted mother, Jenara Nerenberg was shocked to discover that her “symptoms”--only ever labeled as anxiety-- were considered autistic and ADHD. Being a journalist, she dove into the research and uncovered neurodiversity—a framework that moves away from pathologizing “abnormal” versus “normal” brains and instead recognizes the vast diversity of our mental makeups. When it comes to women, sensory processing differences are often overlooked, masked, or mistaken for something else entirely. Between a flawed system that focuses on diagnosing younger, male populations, and the fact that girls are conditioned from a young age to blend in and conform to gender expectations, women often don’t learn about their neurological differences until they are adults, if at all. As a result, potentially millions live with undiagnosed or misdiagnosed neurodivergences, and the misidentification leads to depression, anxiety, low self-esteem, and shame. Meanwhile, we all miss out on the gifts their neurodivergent minds have to offer.Divergent Mind is a long-overdue, much-needed answer for women who have a deep sense that they are “different.” Sharing real stories from women with high sensitivity, ADHD, autism, misophonia, dyslexia, SPD and more, Nerenberg explores how these brain variances present differently in women and dispels widely-held misconceptions (for example, it’s not that autistic people lack sensitivity and empathy, they have an overwhelming excess of it).Nerenberg also offers us a path forward, describing practical changes in how we communicate, how we design our surroundings, and how we can better support divergent minds. When we allow our wide variety of brain makeups to flourish, we create a better tomorrow for us all.","['Nonfiction', 'Psychology', 'Autistic Spectrum Disorder', 'Mental Health', 'Adhd', 'Self Help', 'Science']"
