id,title,description,author,publication,isbn,pages,image
1,Influence et manipulation,"Pourquoi et comment sommes-nous
 amenés à faire des choses contre
 notre gré ? Robert Cialdini livre ici le
 résultat d'années de recherches sur les techniques
 de persuasion. Il dévoile les secrets psychologiques
 qui se cachent derrière notre tendance à
 nous laisser influencer, ainsi que tous les moyens
 employés par les spécialistes de la manipulation,
 et montre comment les battre sur leur propre terrain.
 Grâce à ce livre, vous ne direz plus jamais
 «Oui» alors que vous pensez «Non».",Robert B. Cialdini,17 avr. 2014,9782266227926,403,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjIyNzkyNi9jZTZmMDVkMzJiZWI1NDc3NDFhODVjNjQ2YWY0YzgwYTEwNDNhOTM5LmpwZWc=/ce6f05d32beb547741a85c646af4c80a1043a939-250-375.jpeg?v=1&w=250&h=375&resize=fit
2,L'art subtil de s'en foutre,"Un livre de développement personnel pour ceux qui détestent le développement personnel
Le discours ambiant nous pousse sans cesse à nous améliorer. Sois plus heureux. Sois en meilleure santé. Sois plus intelligent, plus rapide, plus riche, plus sexy, plus productif. Mais il faut en finir avec la pensée positive, nous dit Mark Manson. « Soyons honnêtes : parfois tout va de travers, et il faut faire avec. »Depuis quelques années, à travers son blog au succès phénoménal, Mark Manson explore les aspirations délirantes qui déforment notre perception du monde. Il propose ici sa sagesse pratique, joyeusement insolente. C'est en regardant en face nos peurs, nos défauts et nos incertitudes - en arrêtant de fuir et d'éviter -, que nous pourrons trouver le courage et la confiance qui nous manquent tant.Mark Manson invite à un moment de parler vrai en mode je-te-regarde-dans-les-yeux, fait d'histoires vécues et d'humour potache. Un livre-manifeste pour construire des vies plus réjouissantes, plus ancrées.",Mark Manson,1 juin 2017,9782212567595,188,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIxMjU2NzU5NS9iODE1ODk2YWIzYTNlNzExZTk5MmYxZWM3ZjIxMzEyNTk2YjA4NzU3LmpwZWc=/b815896ab3a3e711e992f1ec7f21312596b08757-250-375.jpeg?v=1&w=250&h=375&resize=fit
3,La mort n'existe pas,"15 ans d'enquête sur l'après-vie pour gagner en sérénité face à la mort
Que se passe-t-il lorsque nous mourons ? Que devient notre conscience ? Survit-elle à la mort cérébrale ? Ces questions vertigineuses se sont imposées à Stéphane Allix au moment du décès de son frère. Il a dès lors mobilisé toutes ses compétences et son instinct de journaliste pour tenter d'élucider le mystère de la conscience.Les recherches en médecine ou en neurosciences, ainsi que les innombrables phénomènes inexpliqués autour de la mort (expériences de mort imminente, perceptions extrasensorielles, etc.), suggèrent que notre conscience possède une dimension spirituelle. Est-ce ce que les mystiques appellent âme ?Pour percer le mystère, Stéphane décide de faire lui-même l'expérience de cette dimension à travers des voies alternatives, des pratiques spirituelles millénaires, comme le chamanisme.Grâce à cet implacable travail d'enquête scientifique, doublé d'une bouleversante exploration spirituelle, Stéphane Allix se forge une intime conviction.
Le bilan d'un journaliste, mais aussi celui d'un homme, d'un père soucieux de transmettre à sa fille l'apaisement procuré par ce voyage aux frontières de la vie.",Stéphane Allix,4 Oct. 2023,9791033912569,397,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAzMzkxMjU2OS85MGFiNmMzM2M1MzM5NzY4YTg2NzAwYWYyNWFlYThlZWEzZGMxOGE2LmpwZWc=/90ab6c33c5339768a86700af25aea8eea3dc18a6-250-375.jpeg?v=1&w=250&h=375&resize=fit
4,Avoir le courage de ne pas être aimé,"Avoir le courage de ne pas être aimé

Sous ce titre provocateur qui va à l'encontre de tout ce que l'on nous apprend depuis notre enfance, ce livre, très accessible et profond, nous explique comment débloquer le pouvoir qui est en nous et qui ne demande qu'à s'épanouir pour que nous soyons la personne que nous souhaitons vraiment être. Et cela, sans tenir compte du regard des autres, sans nous soucier de leur approbation.En s'appuyant sur les théories d'Alfred Adler, l'un des trois géants de la psychologie du début du XXe siècle aux côtés de Freud et de Jung, ce livre suit une conversation éclairante entre un philosophe et un jeune homme. Le philosophe explique à son élève comment chacun d'entre nous est capable de déterminer sa propre vie, sans les entraves des expériences passées, des doutes et des attentes des autres. C'est une façon de penser profondément libératrice, nous permettant de développer le courage de changer et d'ignorer les limites que nous et les personnes qui nous entourent peuvent nous imposer.

Véritable phénomène de librairie en Asie, ce livre à déjà changé la vie de millions de personnes.",Fumitake Koga,13 mars 2018,9782813216458,333,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjgxMzIxNjQ1OC8yMWFhOTA3MDBmN2Y0NmJjMWE5M2ZhMGY4ZTI1YWM4MDFkMmE1ZDI0LmpwZWc=/21aa90700f7f46bc1a93fa0f8e25ac801d2a5d24-250-375.jpeg?v=1&w=250&h=375&resize=fit
5,Mission zéro faute !,"Jouez avec l'orthographe pour ne plus jamais faire de fautes !
Quelle est la différence entre amener et apporter ? Combien de L et de P prend le verbe appeler ? Quel est le pluriel de bancal ? Écrit-on des yeux marron ou marrons ? Que veut dire fur dans l'expression au fur et à mesure ?Avec sourire et humour, Cyril Féraud vous explique de façon simple et ludique toutes les difficultés et les curiosités du français. Il vous donne tous les trucs et astuces faciles à retenir pour ne plus vous tromper, et plus de 200 jeux originaux pour tester votre niveau et devenir un pro !Un voyage à la découverte de notre belle langue française, de ses trésors mais aussi de ses nombreux pièges... dans lesquels vous ne tomberez plus !Illustré et coloré, ce livre est accessible à toute la famille, avec une seule mission après l'avoir lu : ne plus jamais faire de fautes !",Cyril Féraud,4 Oct. 2023,9791033915829,207,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc5MTAzMzkxNTgyOS8zMzFiMTdiOWIzOTcwMWQ1ZDQxMmE2NjRiYjNkNmNhNTQ0MTdiYzdmLmpwZWc=/331b17b9b39701d5d412a664bb3d6ca54417bc7f-250-375.jpeg?v=1&w=250&h=375&resize=fit
12,Ne coupez jamais la poire en deux,"Même si, contrairement à Chris Voss, célèbre négociateur pour le FBI, nous sommes rarement amenés à tenir tête à un forcené reclus dans une banque, notre vie quotidienne s'apparente à une succession de négociations dont nous ne sortons pas toujours vainqueurs : cette promotion dont on rêve, sans cesse repoussée ; ce prêt bancaire qu'on hésite à demander ; les exigences d'un enfant auxquelles on finit par céder...Et si on cessait de toujours couper la poire en deux ? Dans ses expériences au sein du FBI, Chris Voss a puisé une série de principes, de tactiques et de stratégies émotionnelles et communicationnelles capables de désarmer l'interlocuteur le plus récalcitrant ou le plus retors, dans toutes les formes de négociation.",Chris Voss,21 Nov. 2019,9782266296373,373,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI5NjM3My9kZjMxYzBiNDQ0ZGQzMGI0ZTA3YTdlYjkxOGFlMGQ3YjBmZWE1NDAzLmpwZWc=/df31c0b444dd30b4e07a7eb918ae0d7b0fea5403-250-375.jpeg?v=1&w=250&h=375&resize=fit
6,Le Petit Guide illustré du TDAH,"Qu'est-ce qui ne va pas chez moi ?

Qu'est-ce que ça fait de vivre avec un TDAH ?

Puis-je avoir ce trouble et m'épanouir ?
Alice Gendron est bien placée pour en parler, elle qui a longtemps vécu avec un trouble du déficit de l'attention avec ou sans hyperactivité (TDAH) sans comprendre ce qui lui arrivait. Son objectif : à travers ses illustrations et ses conseils pratiques, réaffirmer à ceux qui ont ce trouble ou qui vivent avec une personne diagnostiquée TDAH, et pour qui la vie quotidienne est un défi, qu'ils ne sont pas seuls avec leur atypisme et qu'il leur est possible de s'épanouir !Ce guide en trois parties offre un aperçu complet de ce que c'est que vivre avec un TDAH, et des solutions concrètes :

Tout ce que vous devez savoir sur le TDAH : types, symptômes, diagnostic, idées

La journée type d'une personne avec un TDAH : défis et obstacles (rendez-vous, fatigue, rangement...), astuces et conseils pour les surmonter.

16 stratégies qui ont fait leurs preuves pour «apprivoiser» ce trouble : mettre en place des routines, utiliser des codes couleurs, faire du batch-working, appréhender les choses de façon ludique, travailler avec son cerveau et non contre lui...

Un guide simplet complet, écrit par une personne diagnostiquée TDAH, foisonnant de solutions pratiques pour surmonter les difficultés de la vie quotidienne.",Alice Gendron,4 Oct. 2023,9782226486523,207,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjIyNjQ4NjUyMy80YzIyNmFmN2ZiNWNjMWY5ZmNiN2I3MTVjNWQ4OTYyOTkzZDU2NmQxLmpwZWc=/4c226af7fb5cc1f9fcb7b715c5d8962993d566d1-250-375.jpeg?v=1&w=250&h=375&resize=fit
7,Miracle morning,"Se lever plus tôt pour s'offrir un supplément de vie...
Et si la clé du bonheur et de la réussite se trouvait dans cette nouvelle résolution ? C'est la découverte qui a changé la vie d'Hal Elrod ainsi que celle de milliers de lecteurs.Démarrez votre journée par un moment rien qu'à vous, profitez de ce moment de calme pour méditer, faire du sport, lire et préparer votre journée, comme une nouvelle aventure à entamer chaque matin. Et faites de votre quotidien un miracle !","ELROD, HAL",14 juin 2017,9782266268554,253,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI2NjI2ODU1NC9kNjNlYTA4ODA3NGJkM2FhNjFjNDJkMDk0ZjkyMDRhZGZiNmNiMmViLmpwZWc=/d63ea088074bd3aa61c42d094f9204adfb6cb2eb-250-375.jpeg?v=1&w=250&h=375&resize=fit
8,Power,"Le pouvoir... on le désire, on le craint, on s'en protège


Le sentiment de n'avoir aucun pouvoir sur les gens et les événements est difficilement supportable : l'impuissance rend malheureux. Personne ne réclame moins de pouvoir, tout le monde en veut davantage.

Amoral, intelligent, impitoyable et captivant, cet ouvrage colossal condense trois mille ans d'histoire du pouvoir en quarante-huit lois. Véritable manuel de la manipulation, il analyse la quintessence de cette sagesse millénaire, tirée de la vie et des oeuvres des plus illustres stratèges (Sun Zi, Clausewitz), hommes d'État (César, Louis XIV, Bismarck, Talleyrand), courtisans (Castiglione, Gracián), séducteurs (Ninon de Lenclos, Casanova) et escrocs de l'histoire.Certaines lois reposent sur la prudence (loi n° 1 : Ne surpassez jamais le maître), d'autres demandent de la dissimulation (loi n° 7 : Laissez le travail aux autres, mais recueillez-en les lauriers), d'autres encore une absence totale de compassion (loi n° 15 : Écrasez complètement l'ennemi). Toutes ces lois trouveront des applications dans votre vie de tous les jours... Car, soyez en certain : le monde est une immense cour où se trament toutes sortes d'intrigues. Au lieu de nier l'évidence, tâchez d'exceller dans la course au pouvoir.",Robert Greene,6 avr. 2009,9782848992549,441,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4Mjg0ODk5MjU0OS82MjNiZDg5YzRjNzdkY2ViN2FjYmNmNzAzMzkxZjI5YWRlNjUyNzc0LmpwZWc=/623bd89c4c77dceb7acbcf703391f29ade652774-250-375.jpeg?v=1&w=250&h=375&resize=fit
9,Comment se faire des amis (Nouvelle édition),"Comment se faire des amis
Savoir communiquer est un atout indispensable pour réussir, que ce soit dans sa vie professionnelle ou personnelle. Créer la sympathie, défendre ses idées, motiver ses collaborateurs... Quel que soient son âge et son métier, chacun trouvera dans cet ouvrage les clés pour développer des relations de qualité.Dale Carnegie, père du développement personnel, a donné sa première conférence en 1912 à New York. Depuis, son succès a été grandissant et les formations Dale Carnegie, pour améliorer la confiance en soi, le leadership et la prise de parole, sont dispensées dans plus de 75 pays.
Un best-seller traduit en 37 langues, vendu à plus de 40 millions d'exemplaires dans le monde et conseillé par les meilleures écoles de management.
Des conseils faciles à mettre en oeuvre.
Des exemples concrets de situations et leur analyse pour savoir comment réagir en toutes circonstances.",Dale Carnegie,15 févr. 2023,9782253238713,356,https://media.lireka.com/L2JhY2tvZmZpY2UvbWVkaWEvaW1hZ2VzL2Jvb2svOTc4MjI1MzIzODcxMy8xNTUzMDA5NGE2MDcwOTc2ZjQyNTI5OWZmOWRlMGIxNjE3MmEyMGZiLmpwZWc=/15530094a6070976f425299ff9de0b16172a20fb-250-375.jpeg?v=1&w=250&h=375&resize=fit
